"Rk","G","Game_Location","Opp","Game_Outcome","Team_Score","Opp_Score","FG_team","FGA_team","FG_percent_team","X3P_team","X3PA_team","X3P_percent_team","FT_team","FTA_team","FT_percent_team","ORB_team","TRB_team","AST_team","STL_team","BLK_team","TOV_team","PF_team","FG_opp","FGA_opp","FG_percent_opp","X3P_opp","X3PA_opp","X3P_percent_opp","FT_opp","FTA_opp","FT_percent_opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","Date","team_name"
1,1,"Away","NYK","L",107,126,41,90,0.456,10,36,0.278,15,18,0.833,7,45,19,7,3,24,30,45,99,0.455,12,33,0.364,24,31,0.774,10,46,21,12,6,15,23,2018-10-17,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
2,2,"Away","MEM","L",117,131,41,83,0.494,14,30,0.467,21,36,0.583,11,40,27,9,5,19,31,44,81,0.543,13,26,0.5,30,43,0.698,7,41,32,9,4,16,29,2018-10-19,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
3,3,"Away","CLE","W",133,111,48,98,0.49,22,47,0.468,15,19,0.789,9,44,32,9,7,12,21,46,99,0.465,10,27,0.37,9,14,0.643,15,49,23,5,2,18,25,2018-10-21,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
4,4,"Home","DAL","W",111,104,37,91,0.407,15,38,0.395,22,31,0.71,10,54,28,6,6,15,26,38,91,0.418,12,40,0.3,16,26,0.615,9,52,25,7,9,17,27,2018-10-24,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
5,5,"Home","CHI","L",85,97,27,84,0.321,12,40,0.3,19,23,0.826,11,48,20,9,8,22,13,36,83,0.434,12,33,0.364,13,16,0.813,8,52,25,14,6,20,21,2018-10-27,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
6,6,"Away","PHI","L",92,113,35,94,0.372,8,37,0.216,14,21,0.667,10,47,20,10,3,13,18,41,99,0.414,14,47,0.298,17,18,0.944,16,64,33,7,9,19,22,2018-10-29,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
7,7,"Away","CLE","L",114,136,44,82,0.537,15,35,0.429,11,17,0.647,6,39,25,6,8,22,29,45,90,0.5,13,25,0.52,33,43,0.767,13,48,23,13,1,13,20,2018-10-30,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
8,8,"Home","SAC","L",115,146,42,87,0.483,8,31,0.258,23,34,0.676,10,43,26,6,6,22,28,53,98,0.541,14,35,0.4,26,32,0.813,10,46,38,14,3,14,29,2018-11-01,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
9,9,"Home","MIA","W",123,118,46,88,0.523,13,32,0.406,18,23,0.783,8,37,33,11,7,16,21,41,85,0.482,16,40,0.4,20,26,0.769,13,41,27,6,6,17,20,2018-11-03,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
10,10,"Away","CHO","L",102,113,41,85,0.482,6,30,0.2,14,18,0.778,7,37,22,13,9,22,18,45,92,0.489,13,31,0.419,10,18,0.556,8,43,27,9,4,21,16,2018-11-06,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
11,11,"Home","NYK","L",107,112,37,92,0.402,11,38,0.289,22,29,0.759,15,45,26,5,9,17,30,34,77,0.442,11,30,0.367,33,47,0.702,11,48,15,8,7,16,30,2018-11-07,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
12,12,"Home","DET","L",109,124,36,79,0.456,7,28,0.25,30,40,0.75,9,53,17,6,2,16,21,46,97,0.474,20,47,0.426,12,19,0.632,10,44,30,10,6,10,31,2018-11-09,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
13,13,"Away","LAL","L",106,107,41,95,0.432,13,37,0.351,11,13,0.846,10,44,25,11,4,17,23,39,92,0.424,14,38,0.368,15,24,0.625,17,48,28,12,9,22,23,2018-11-11,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
14,14,"Away","GSW","L",103,110,40,89,0.449,12,32,0.375,11,15,0.733,10,42,25,9,2,14,18,39,91,0.429,12,27,0.444,20,21,0.952,13,48,28,8,6,13,20,2018-11-13,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
15,15,"Away","DEN","L",93,138,32,92,0.348,9,42,0.214,20,27,0.741,15,43,20,7,5,19,22,53,94,0.564,13,31,0.419,19,25,0.76,11,56,34,12,6,15,24,2018-11-15,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
16,16,"Away","IND","L",89,97,31,87,0.356,8,29,0.276,19,27,0.704,5,41,20,15,6,18,24,35,87,0.402,12,30,0.4,15,21,0.714,10,53,25,11,6,22,26,2018-11-17,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
17,17,"Home","LAC","L",119,127,45,101,0.446,12,38,0.316,17,19,0.895,16,51,29,6,6,14,38,40,93,0.43,10,33,0.303,37,47,0.787,15,52,24,9,8,15,22,2018-11-19,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
18,18,"Home","TOR","L",108,124,42,93,0.452,10,36,0.278,14,18,0.778,9,34,24,10,7,9,21,48,90,0.533,11,29,0.379,17,23,0.739,14,55,33,6,1,17,21,2018-11-21,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
19,19,"Home","BOS","L",96,114,35,81,0.432,6,35,0.171,20,29,0.69,5,40,22,9,7,20,26,42,91,0.462,13,40,0.325,17,21,0.81,7,43,31,11,7,16,29,2018-11-23,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
20,20,"Home","CHO","W",124,123,50,94,0.532,16,39,0.41,8,11,0.727,9,41,34,5,9,15,23,41,92,0.446,18,45,0.4,23,28,0.821,10,42,30,8,4,10,15,2018-11-25,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
21,21,"Away","MIA","W",115,113,38,80,0.475,12,31,0.387,27,32,0.844,10,46,22,13,7,24,24,40,87,0.46,13,38,0.342,20,30,0.667,11,43,22,20,3,20,25,2018-11-27,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
22,22,"Away","CHO","L",94,108,32,93,0.344,11,44,0.25,19,22,0.864,16,54,20,11,8,19,25,38,83,0.458,4,20,0.2,28,37,0.757,5,44,20,15,5,14,21,2018-11-28,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
23,23,"Away","OKC","L",109,124,43,96,0.448,11,36,0.306,12,20,0.6,14,42,26,15,3,21,12,46,88,0.523,18,41,0.439,14,15,0.933,7,46,30,12,7,20,24,2018-11-30,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
24,24,"Home","GSW","L",111,128,44,90,0.489,5,26,0.192,18,24,0.75,9,35,23,10,4,18,21,48,82,0.585,13,24,0.542,19,22,0.864,6,39,33,10,8,20,24,2018-12-03,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
25,25,"Home","WAS","L",117,131,41,92,0.446,12,38,0.316,23,31,0.742,8,43,28,13,4,17,27,46,95,0.484,12,38,0.316,27,32,0.844,12,49,35,9,4,15,24,2018-12-05,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
26,26,"Home","DEN","W",106,98,40,93,0.43,15,42,0.357,11,16,0.688,9,51,33,9,11,18,23,36,97,0.371,9,36,0.25,17,21,0.81,11,48,28,11,4,15,16,2018-12-08,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
27,27,"Away","DAL","L",107,114,43,93,0.462,11,33,0.333,10,14,0.714,16,44,21,7,2,21,30,35,75,0.467,12,34,0.353,32,43,0.744,4,36,22,13,5,14,16,2018-12-12,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
28,28,"Away","BOS","L",108,129,36,86,0.419,16,38,0.421,20,32,0.625,16,44,27,10,5,24,19,46,95,0.484,19,39,0.487,18,20,0.9,13,47,28,15,9,21,21,2018-12-14,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
29,29,"Away","BRK","L",127,144,47,85,0.553,14,29,0.483,19,25,0.76,8,33,38,9,5,14,22,49,88,0.557,16,40,0.4,30,33,0.909,10,39,34,12,3,13,21,2018-12-16,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
30,30,"Home","WAS","W",118,110,37,79,0.468,12,32,0.375,32,39,0.821,13,49,23,4,5,23,29,36,83,0.434,13,40,0.325,25,36,0.694,9,37,26,14,1,15,32,2018-12-18,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
31,31,"Away","NYK","W",114,107,43,91,0.473,10,29,0.345,18,24,0.75,15,54,29,4,1,16,18,41,84,0.488,8,27,0.296,17,24,0.708,4,35,20,8,3,12,22,2018-12-21,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
32,32,"Away","DET","W",98,95,36,91,0.396,6,23,0.261,20,25,0.8,15,54,24,9,9,16,25,34,83,0.41,10,29,0.345,17,27,0.63,5,41,21,6,9,16,25,2018-12-23,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
33,33,"Home","IND","L",121,129,45,89,0.506,17,36,0.472,14,18,0.778,11,41,33,8,6,19,24,46,83,0.554,13,27,0.481,24,33,0.727,10,39,35,13,3,16,17,2018-12-26,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
34,34,"Away","MIN","W",123,120,47,100,0.47,16,35,0.457,13,20,0.65,17,58,32,10,6,23,33,44,98,0.449,11,32,0.344,21,38,0.553,16,47,28,14,9,14,26,2018-12-28,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
35,35,"Home","CLE","W",111,108,43,98,0.439,10,37,0.27,15,25,0.6,17,53,27,7,4,13,25,40,85,0.471,5,23,0.217,23,29,0.793,10,44,27,9,2,12,23,2018-12-29,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
36,36,"Away","IND","L",108,116,41,95,0.432,13,32,0.406,13,19,0.684,21,53,24,8,5,17,23,42,84,0.5,11,24,0.458,21,29,0.724,8,39,29,13,6,11,18,2018-12-31,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
37,37,"Away","WAS","L",98,114,40,95,0.421,10,31,0.323,8,13,0.615,13,50,26,5,6,14,19,43,92,0.467,11,29,0.379,17,23,0.739,10,48,29,10,2,10,20,2019-01-02,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
38,38,"Away","MIL","L",112,144,37,85,0.435,14,41,0.341,24,35,0.686,5,31,26,11,3,21,23,55,100,0.55,14,40,0.35,20,28,0.714,12,54,36,11,8,14,26,2019-01-04,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
39,39,"Home","MIA","W",106,82,43,91,0.473,10,24,0.417,10,13,0.769,14,59,25,7,2,17,22,31,87,0.356,5,34,0.147,15,27,0.556,12,41,23,11,7,13,17,2019-01-06,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
40,40,"Away","TOR","L",101,104,40,87,0.46,10,27,0.37,11,16,0.688,13,50,22,12,2,26,22,37,80,0.463,10,32,0.313,20,27,0.741,6,39,26,18,7,18,20,2019-01-08,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
41,41,"Away","BRK","L",100,116,36,99,0.364,6,35,0.171,22,25,0.88,18,52,17,8,6,19,24,43,95,0.453,10,30,0.333,20,26,0.769,18,54,21,10,9,18,28,2019-01-09,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
42,42,"Away","PHI","W",123,121,45,81,0.556,12,25,0.48,21,27,0.778,15,44,27,7,4,21,24,45,87,0.517,11,33,0.333,20,27,0.741,11,30,31,13,4,15,23,2019-01-11,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
43,43,"Home","MIL","L",114,133,39,96,0.406,12,38,0.316,24,30,0.8,18,54,19,3,5,24,30,49,92,0.533,11,30,0.367,24,33,0.727,8,39,28,13,4,14,25,2019-01-13,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
44,44,"Home","OKC","W",142,126,56,90,0.622,18,37,0.486,12,16,0.75,10,44,36,8,4,18,28,43,94,0.457,9,32,0.281,31,41,0.756,15,40,22,16,3,12,18,2019-01-15,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
45,45,"Home","BOS","L",105,113,40,92,0.435,12,41,0.293,13,14,0.929,13,49,28,8,6,20,20,39,88,0.443,12,32,0.375,23,25,0.92,11,43,19,10,8,15,18,2019-01-19,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
46,46,"Home","ORL","L",103,122,39,86,0.453,9,30,0.3,16,23,0.696,9,44,23,5,3,13,24,46,91,0.505,11,29,0.379,19,21,0.905,9,45,29,8,8,11,22,2019-01-21,"https://www.basketball-reference.com/teams/ATL/2019/gamelog/"
